population,hdi,gdp_ppp,ppp_pc,overall score,financial freedom,tax burden,name,mipex_score,labor freedom,fiscal health,government integrity,business freedom,gdp,rank,monetary freedom,investment freedom,trade freedom,property rights,government spending,norm_name,index year,judicial effectiveness
,0.388,20423.0,,,,,south sudan,,,,,,,,,,,,,south sudan,,
,0.7,20207.0,,59.1,50.0,85.4,moldova,,39.0,92.0,25.4,67.0,,,73.5,55.0,78.0,55.2,59.1,moldova,2019.0,29.6
,0.498,19979.0,,52.7,30.0,79.9,haiti,,62.6,95.9,20.3,36.2,,,66.5,45.0,72.0,10.4,88.3,haiti,2019.0,25.3
,0.52,17421.0,,55.7,40.0,78.0,mauritania,,51.5,80.6,30.6,61.9,,,81.2,50.0,62.6,27.5,74.2,mauritania,2019.0,30.6
,0.459,17056.0,,55.7,40.0,69.4,guinea,,54.9,87.2,25.5,54.6,,,66.4,50.0,63.2,34.7,89.8,guinea,2019.0,32.6
,0.503,12494.0,,50.3,30.0,67.8,togo,,46.7,24.5,28.1,50.4,,,79.1,65.0,69.4,35.5,77.0,togo,2019.0,29.6
,0.419,11551.0,,47.5,20.0,87.3,sierra leone,,29.3,13.2,26.2,44.9,,,65.0,60.0,69.4,35.5,84.4,sierra leone,2019.0,34.5
,0.588,11352.0,,,,,swaziland,,,,,,,,,,,,,swaziland,,
,0.814,10934.0,,60.5,50.0,85.3,montenegro,,73.4,23.2,39.5,73.3,,,81.6,75.0,84.7,55.4,32.6,montenegro,2019.0,51.8
,0.44,9678.0,,38.9,20.0,81.4,eritrea,,70.0,0.0,19.7,17.7,,,61.0,0.0,69.2,35.5,73.9,eritrea,2019.0,18.1
,,9374.0,,62.9,60.0,97.3,the bahamas,,67.5,65.7,43.7,68.5,,,78.1,50.0,47.8,42.2,86.8,the bahamas,2019.0,46.9
,0.741,8798.0,,62.2,50.0,81.1,fiji,,72.9,82.4,23.4,63.0,,,73.5,55.0,62.8,67.3,71.7,fiji,2019.0,42.9
,0.417,8024.0,,48.9,30.0,74.0,burundi,,67.5,23.3,26.2,50.3,,,62.2,50.0,68.2,20.6,83.3,burundi,2019.0,31.0
,0.72,7961.0,,48.1,30.0,70.9,suriname,,73.5,9.6,35.5,48.3,,,56.0,40.0,64.6,49.1,77.2,suriname,2019.0,22.2
,0.52,7287.0,,53.1,40.0,59.4,lesotho,,58.8,63.5,30.9,53.3,,,75.0,55.0,81.0,41.5,33.0,lesotho,2019.0,45.7
,0.612,7045.0,,62.9,30.0,83.0,bhutan,,79.5,77.6,54.5,68.7,,,72.6,20.0,79.4,62.5,71.6,bhutan,2019.0,55.4
,0.654,6398.0,,56.8,30.0,67.0,guyana,,62.0,77.6,33.2,59.3,,,76.9,55.0,66.8,41.7,69.4,guyana,2019.0,42.9
,0.717,5853.0,,53.2,30.0,95.8,maldives,,70.8,10.7,33.5,78.3,,,81.0,35.0,62.6,43.9,60.8,maldives,2019.0,36.4
,0.8,4983.0,,64.7,60.0,70.1,barbados,,59.9,79.5,53.8,69.8,,,78.3,70.0,56.6,52.9,65.0,barbados,2019.0,59.9
,,4567.0,,44.2,20.0,96.3,timor-leste,,58.8,20.0,32.1,60.5,,,79.5,45.0,75.0,29.7,0.9,timor-leste,2019.0,13.1
,0.435,3960.0,,49.7,20.0,82.7,liberia,,38.3,69.1,24.2,50.6,,,68.9,55.0,60.1,26.7,62.1,liberia,2019.0,39.0
,0.654,3762.0,,,,,cape verde,,,,,,,,,,,,,cape verde,,
,0.476,3658.0,,47.1,50.0,76.2,djibouti,,60.4,18.1,28.1,54.7,,,72.7,80.0,50.4,29.7,27.3,djibouti,2019.0,18.1
,0.46,3607.0,,52.4,50.0,74.3,the gambia,,67.4,0.0,41.2,54.0,,,62.4,65.0,61.6,39.9,70.7,the gambia,2019.0,42.5
,0.367,3411.0,,49.1,30.0,65.2,central african republic,,40.1,94.3,23.2,24.2,,,72.3,45.0,51.0,19.6,94.2,central african republic,2019.0,29.6
,0.708,3252.0,,55.4,50.0,79.9,belize,,54.8,39.1,27.2,61.8,,,78.7,55.0,64.0,41.7,65.9,belize,2019.0,46.9
,0.455,3089.0,,54.0,30.0,88.8,guinea-bissau,,61.2,81.4,25.3,35.9,,,78.1,30.0,55.6,32.6,86.7,guinea-bissau,2019.0,42.9
,0.797,2761.0,,61.4,30.0,76.3,seychelles,,63.2,92.0,39.2,63.3,,,80.0,55.0,81.4,58.2,60.3,seychelles,2019.0,37.5
,0.78,2372.0,,,,,antigua and barbuda,,,,,,,,,,,,,antigua and barbuda,,
,,2110.0,,,,,st. lucia,,,,,,,,,,,,,st. lucia,,
,,2093.0,,,,,san marino,,,,,,,,,,,,,san marino,,
,0.772,1588.0,,,,,grenada,,,,,,,,,,,,,grenada,,
,,1544.0,,,,,st. kitts and nevis,,,,,,,,,,,,,st. kitts and nevis,,
,0.503,1329.0,,55.4,30.0,63.9,comoros,,60.3,91.7,24.4,57.2,,,82.8,45.0,70.0,36.5,73.4,comoros,2019.0,29.6
,,1299.0,,,,,st. vincent and the grenadines,,,,,,,,,,,,,st. vincent and the grenadines,,
,0.546,1247.0,,54.6,30.0,65.5,solomon islands,,72.0,89.4,33.5,68.6,,,86.0,15.0,56.8,49.9,36.5,solomon islands,2019.0,51.7
,0.713,1129.0,,62.2,30.0,79.9,samoa,,78.2,93.6,37.7,77.0,,,83.5,55.0,63.8,53.8,62.3,samoa,2019.0,31.0
,0.715,847.0,,63.6,30.0,72.1,dominica,,60.4,84.7,54.5,70.7,,,85.7,70.0,68.2,49.2,53.5,dominica,2019.0,63.8
,0.603,772.0,,56.4,40.0,97.3,vanuatu,,58.8,15.3,51.9,52.4,,,75.0,65.0,64.4,65.9,54.1,vanuatu,2019.0,36.4
,0.589,685.0,,54.0,30.0,87.2,são tomé and príncipe,,42.7,62.3,35.5,65.1,,,70.5,60.0,64.2,37.4,67.0,são tomé and príncipe,2019.0,26.6
,0.726,597.0,,57.7,20.0,85.5,tonga,,69.9,93.4,38.1,75.3,,,69.4,40.0,73.6,59.2,40.9,tonga,2019.0,26.6
,,345.0,,51.9,30.0,92.8,micronesia,,71.9,98.8,36.6,57.4,,,85.8,35.0,80.6,7.6,0.0,micronesia,2019.0,26.6
,,297.0,,,,,palau,,,,,,,,,,,,,palau,,
,0.612,222.0,,47.3,30.0,73.0,kiribati,,50.7,98.6,35.1,41.9,,,81.1,25.0,53.2,44.1,0.0,kiribati,2019.0,34.3
,,188.0,,,,,marshall islands,,,,,,,,,,,,,marshall islands,,
,,41.0,,,,,tuvalu,,,,,,,,,,,,,tuvalu,,
,0.916,,,N/A,80.0,N/A,liechtenstein,, N/A,N/A,N/A, N/A,,, N/A,85.0,N/A,N/A,N/A,liechtenstein,2019.0,N/A
,0.858,,,,,,andorra,,,,,,,,,,,,,andorra,,
,0.853,,,,,,brunei,,,,,,,,,,,,,brunei,,
,0.807,,,,,,bahamas,,,,,,,,,,,,,bahamas,,
,0.778,,,,,,saint kitts and nevis,,,,,,,,,,,,,saint kitts and nevis,,
,0.777,,,27.8,10.0,48.8,cuba,,20.0,15.6,37.7,20.0,,,65.6,10.0,64.0,31.6,0.0,cuba,2019.0,10.0
,0.757,,,,,,north macedonia,,,,,,,,,,,,,north macedonia,,
,0.747,,,68.7,40.0,76.2,saint lucia,,69.2,81.3,50.3,76.3,,,83.9,65.0,73.2,65.9,79.3,saint lucia,2019.0,63.8
,0.723,,,65.8,40.0,71.2,saint vincent and the grenadines,,73.5,85.0,50.5,76.5,,,82.2,70.0,66.6,36.5,74.3,saint vincent and the grenadines,2019.0,63.8
,0.686,,,,,,palestine,,,,,,,,,,,,,palestine,,
,0.672,,,,,,kyrgyzstan,,,,,,,,,,,,,kyrgyzstan,,
,0.625,,,,,,east timor,,,,,,,,,,,,,east timor,,
, Republic of the,,,,,,congo,,,,,,,,,,,,,congo,,
,0.492,,,,,,ivory coast,,,,,,,,,,,,,ivory coast,,
,,,,53.6,20.0,86.6,burma,,65.7,78.3,30.6,52.8,,,69.6,30.0,70.8,34.7,85.4,burma,2019.0,18.1
,,,,63.1,60.0,76.4,cabo verde,,55.7,59.7,43.7,65.2,,,84.1,80.0,68.2,44.1,71.2,cabo verde,2019.0,49.0
,,,,50.3,20.0,73.8,democratic republic of congo,,41.9,96.9,26.2,53.2,,,49.1,30.0,62.6,25.3,93.9,democratic republic of congo,2019.0,30.7
,,,,54.7,40.0,74.8,eswatini,,67.5,18.3,35.0,59.2,,,73.7,50.0,87.6,41.7,65.6,eswatini,2019.0,42.9
,,,,5.9,0.0,0.0,north korea,,5.0,0.0,24.4,5.0,,,0.0,0.0,0.0,31.6,0.0,north korea,2019.0,5.0
,,,,N/A, N/A,N/A,somalia,, N/A,N/A,7.9,31.7,,, N/A,N/A,N/A,33.7,N/A,somalia,2019.0,26.6
,,,,N/A, N/A,N/A,syria,,58.2,N/A,20.3,49.6,,,48.3,0.0,47.0,37.0,N/A,syria,2019.0,24.4
